1094723375,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13612 45l,,Book,None,2005-05-18,3000 - Prêt 28 j.,Die Handschrift des Schnitt- und Augenarztes Gaspar Stromayr im Lindau im Bodensee : in der Lindauer Handscrift (p.I. 46) vom 4. Juli 1559,"Stromayr, Gaspar",Idra-Verlagsanstalt,Berlin :,cop. 1925,,459
1094721615,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14495 45l,,Book,None,2006-03-28,3000 - Prêt 28 j.,The history of albuminous nephritis,"Rayer, Pierre François Olive, 1793-1867",The Wellcome Trust Centre for the History of Medicine at UCL,London :,2005,0854840982; 9780854840984,459
VD2107983,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 15196 45l,,Book,None,2006-09-13,3000 - Prêt 28 j.,Mes aventures de dialyse,,Ed Mots & Images,Toulouse :,1998,2911465032; 9782911465031,459
1096134568,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 17937 45l,,Book,None,2009-11-02,3000 - Prêt 28 j.,Maladies des reins,,J-B Baillère,Paris :,1909,,459
1096134536,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 17958/1 45l,,Book,None,2009-11-03,3000 - Prêt 28 j.,Traité d'urologie,"Marion, Georges",Masson,Paris :,1927-1928,,459
1096134535,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 17958/1 45l,HMA 17958/2 | 45l,Book,None,2009-11-03,3000 - Prêt 28 j.,Traité d'urologie,"Marion, Georges",Masson,Paris :,1927-1928,,459
1096158281,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19312 45l,,Book,None,2011-04-14,3000 - Prêt 28 j.,Les maladies de la prostate,"Niederhäusern, Willy von",Tribune Editions,Genève :,cop. 1980,2829700112; 9782829700118,459
1093125500,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1939 45l,,Book,None,1997-03-03,3000 - Prêt 28 j.,La cystographie : étude radiologique de la vessie normale et pathologique,"Blanc, H",Masson,Paris :,1926,,459
1096160273,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19517 45l,,Book,None,2011-07-19,3000 - Prêt 28 j.,Essentials of urography,"Lalli, Anthony F.",CC Thomas,"Springfield, Ill. :",1967,,459
1093127537,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1988 45l,,Book,None,1997-03-03,3000 - Prêt 28 j.,La séparation de l'urine des deux reins,"Luys, Georges",Masson,Paris :,1904,,459
1096622348,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20592 45l,,Book,None,2012-07-11,1000 - Consult. surv. 28 j.,Ausscheidung von Silikon durch die Nieren,"Denes, Arthur",sn,Basel :,1965,,459
1096896657,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22749/1 45l,,Book,None,2014-06-05,3000 - Prêt 28 j.,Der Urin im medizinischen Denken,"Koelbing, Huldrych M",JR Geigy,Basel :,cop. 1967,,459
