1096897842,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HGA 224 30c,,Book,None,2014-12-11,3000 - Prêt 28 j.,Proctologie pratique,"Neiger, Alexander",H Huber,Berne ;,cop. 1973,3456003218; 9783456003214,3003
1093115784,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1736 30c,,Book,None,1997-03-03,3000 - Prêt 28 j.,Pancréatites chroniques gauches,"Mallet-Guy, Pierre",Masson,Paris :,1943,,3003
1096133134,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 17429 30c,,Book,None,2009-05-14,3000 - Prêt 28 j.,Die Pathogenese des peptischen Geschwürs des Magens und der oberen Darmabschnitte,"Redwitz, Erich von",F Enke,Stuttgart :,1928,,3003
1096620531,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19671/1 30c,,Book,None,2011-10-04,3000 - Prêt 28 j.,Les syndromes douloureux de la région épigastrique,"Gutmann, René Albert Charles",G Doin,Paris :,1951-1952,,3003
1096620530,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19671/1 30c,HMA 19671/2 | 30c,Book,None,2011-10-04,3000 - Prêt 28 j.,Les syndromes douloureux de la région épigastrique,"Gutmann, René Albert Charles",G Doin,Paris :,1951-1952,,3003
1096620512,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19685 30c,,Book,None,2011-10-05,3000 - Prêt 28 j.,"Carbenoxolone sodium : original papers and discussion of a group meeting at the 4th World Congress of Gastroenterology, Copenhagen, July 14th 1970",,Butterworth,London :,1970,0407128018; 9780407128019,3003
1096620511,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19686 30c,,Book,None,2011-10-05,3000 - Prêt 28 j.,La biopsie gastrique par sonde,"Cheli, Rodolfo",Masson,Paris :,1966,,3003
1096620510,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19687 30c,,Book,None,2011-10-05,3000 - Prêt 28 j.,Les diarrhées et leur traitement dans l'exercice journalier de la médecine praticienne,"Maison, Edouard",Maloine,Paris :,1967,,3003
1096620500,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19694 30C,,Book,None,2011-10-05,3000 - Prêt 28 j.,The irritable gut : functional disorders of the alimentary canal,"Thompson, W. Grant",University Park Press,Baltimore :,1979,0839113099; 9780839113096,3003
1096620419,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19755 30c,,Book,None,2011-10-11,3000 - Prêt 28 j.,Die Entdeckung der Glykogenbildung in der Leber : ein geschichtlicher Beitrag,"Schuth, Wilfrid",sn,Freiburg im Breisgau :,1962,,3003
1096620402,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19761 30c,,Book,None,2011-10-12,3000 - Prêt 28 j.,"Über die Gefahren, Kontraindikationen und Indikationen der Laparoskopie, der gezielten und der blinden Leberbiopsie","Stiefel, G. Ernst",,3003
1096622200,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20733 30c,,Book,None,2012-08-13,3000 - Prêt 28 j.,"Gastro update 2005 : nouveaux développements, concepts actuels et ""state of the art"" des options thérapeutiques : 13e séminaire de gastro-entérologie Wiesbaden, les 25 et 26 février 2005",,Inter Com,Bâle :,2006,3906529088; 9783906529080,3003
1096624065,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21375 30c,,Book,None,2013-01-23,1000 - Consult. surv. 28 j.,Quelques observations concernant le rythme nycthéméral dans le foie,"Anker, René",Impr typo-litho moderne,Lausanne :,1939,,3003
1096624357,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21377 30c,,Book,None,2013-01-24,1000 - Consult. surv. 28 j.,Die Appendicitis als eine epidemische infectiöse Erkrankung (Vorläufige Notiz),"Goluboff, N. F.",,3003
1096896944,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22782 30c,,Book,None,2014-06-16,3000 - Prêt 28 j.,"Trends in bile acid research : proceedings of the 52nd Falk Symposium held in Freiburg, Federal Republic of Germany, June 9-11, 1988",,Kluwer,Dordrecht [u.a.] :,1989,9780746201121; 0746201125,3003
1096898705,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23965 30c,,Book,Loan,2015-06-01,3000 - Prêt 28 j.,Le charme discret de l'intestin : tout sur un organe mal aimé,"Enders, Giulia, 1990-",Actes Sud,Arles :,2015,9782330048815; 2330048815,3003
