1099015177,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM,HMB 1902 45,,Book,None,2001-01-03,1000 - Consult. surv. 28 j.,Nouveaux éléments de médecine opératoire : accompagnés d'un atlas de 22 planches in-4⁰ gravées représentant les principaux procédés opératoires et un grand nombre d'instruments de chirurgie,"Velpeau, Alfred-Armand-Louis-Marie",J-B Baillière,Paris :,1832,,45
RERO-16220383,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HGA 208 30s,,Book,None,2014-11-26,1000 - Consult. surv. 28 j.,Contribution à l'étude du nerf moteur oculaire externe,"Ott, Henri",Multi-Office Garzoni et Flury,Lausanne :,1962,,3015
1096896066,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10217 35p,HMA 10217+1 | 35p,Book,None,2013-11-20,1000 - Consult. surv. 28 j.,Le diagnostic précoce de la poliomyélite à forme méningée,"Jaccottet, Maurice",Masson,Paris :,1933,,35p
RERO-15165575,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10218 30l,HMA 10218+1 | 30l,Book,None,2013-11-20,1000 - Consult. surv. 28 j.,L'érythème noueux,"Jaccottet, Maurice",Impr Réunies,Lausanne :,1944,,3009
1094687480,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10638 DU,,Book,None,2002-05-21,1000 - Consult. surv. 28 j.,Un demi-siècle de vie hospitalière en Savoie 1860-1914 : charnière entre tradition et modernité,"Stefanini, Francis",Univ Jean Moulin,Lyon :,1998,,DU
1094687559,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10702 Dn,,Book,None,2002-06-10,1000 - Consult. surv. 28 j.,Shadows in the soil : human bones & archaeology,"Waldron, Tony",Tempus,Stroud :,2001,0752414887; 9780752414881,Dn
1094687560,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10703 DOa,,Book,None,2002-06-10,1000 - Consult. surv. 28 j.,Municipal medicine : public health in twentieth century Britain,"Welshman, John",Lang,Oxford [etc.] :,2000,3906766403; 9783906766409,DOa
1099029325,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10781/1 DV,,Book,None,2002-07-16,1000 - Consult. surv. 28 j.,Storia della medicina in Italia,"De Renzi, Salvatore",A Forni,Bologna :,1988,,DV
RERO-15749162,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10781/1 DV,HMA 10781/2 | DV,Book,None,2014-06-11,1000 - Consult. surv. 28 j.,Storia della medicina in Italia,"De Renzi, Salvatore",A Forni,Bologna :,1988,,DV
RERO-15749164,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10781/1 DV,HMA 10781/3 | DV,Book,None,2014-06-11,1000 - Consult. surv. 28 j.,Storia della medicina in Italia,"De Renzi, Salvatore",A Forni,Bologna :,1988,,DV
