1094685378,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 11139 47,,Book,None,2003-01-10,3000 - Prêt 28 j.,The Roentgen rays in medicine and surgery,"Williams, Francis Henry",The Classics of Medicine Library,Birmingham Alabama :,cop. 1988,,47
1096135699,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 17971 47,,Book,None,2009-11-05,3000 - Prêt 28 j.,Eléments de radiologie : diagnostic et thérapeutique par les rayons X,"Albert-Weil, Ernest",F Alcan,Paris :,1920,,47
1096620498,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19730 47,,Book,None,2011-10-06,3000 - Prêt 28 j.,L'exploration radiologique du poumon et du médiastin à l'aide de la tomographie oblique postérieure à 55⁰ = Radiological examination of the lung and mediastinum with the aid of posterior oblique tomgraphy at an angle of 55⁰ = Die Röntgenuntersuchung der Lunge und des Mediastinums durch a.p.-tomographie des um 55⁰ um seine Längsachse gedrehten Patienten,"Favez, Gérard",S Karger,Basel ;,1966,,47
1096620387,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 19806 47,,Book,None,2011-10-25,3000 - Prêt 28 j.,Leitfaden der Laparoskopie und Gastroskopie,"Kalk, Heinz",G Thieme,Stuttgart :,1951,,47
1092473730,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2002 47,,Book,None,1997-03-03,3000 - Prêt 28 j.,Précis de radiodiagnostic technique et clinique,"Jaugeas, François-Auguste",Masson,Paris :,1913,,47
1096622319,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20671 47,,Book,None,2012-07-19,3000 - Prêt 28 j.,Ultraschall des Abdomens : 114 diagnostische Übungen für Studenten und praktische Radiologen,"Roy, Catherine, médecin",Springer-Verlag,Berlin :,1988,3540165487; 9783540165484; 0387165487; 9780387165486,47
1096622549,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20766 47,,Book,None,2012-08-16,3000 - Prêt 28 j.,Klinische Radiologie : Originalfragen mit ausführlichen Kommentaren zu schwierigen Fragen sowie über 370 Röntgenbildern,"Knoth, Michael",Jungjohann Verl,Neckarsulm :,1990,3824310791; 9783824310791,47
1096896263,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22258 47,,Book,None,2013-09-11,3000 - Prêt 28 j.,Atlas de poche d'échographie : imagerie normale,"Block, Berthold",Médecine sciences publications - Lavoisier,Paris :,2013,9782257205537; 2257205537,47
1096897512,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23245 47,,Book,None,2014-10-01,3000 - Prêt 28 j.,L'imagerie médicale : la fabrique d'un nouveau malade imaginaire,"Briois Vilmont, Laurence, 1957-",L'Harmattan,Paris :,2013,9782336292847; 233629284X,47
1093145708,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2388 47,,Book,None,1997-03-03,3000 - Prêt 28 j.,Artériographie des membres et de l'aorte abdominale,"Santos, Reynaldo Dos",Masson,Paris :,1931,,47
1096899075,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 24076 47,,Book,None,2015-07-21,3000 - Prêt 28 j.,La radiographie simple du crâne dans les séquelles des atrophies rétractiles et expansives de la petite enfance,"Miribel, Jean",Expansion scientifique française,Paris :,1965,,47
