1094687418,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10592 16a,,Book,None,2002-05-01,3000 - Prêt 28 j.,Tratado sobre los medicamentos de la tríaca,Ibn Yulyul,Univ de Córdoba,Córdoba :,1992,8460081958; 9788460081951,160
1094684827,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 11657 16a,,Book,None,2003-06-18,3000 - Prêt 28 j.,Frühmittelalterliche Rezeptarien,,Orell Fuessli,Zürich [etc.] :,1925,,160
1094708099,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 12017 16a,,Book,Missing,2003-11-17,3000 - Prêt 28 j.,"Phantastica : drogues psychédéliques, stupéfiants, narcotiques, excitants, hallucinogènes","Lewin, Louis",Payot,Paris :,1977,,160
1094707503,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 12328 16a,,Book,None,2004-03-16,3000 - Prêt 28 j.,"Les paradis artificiels : opium, morphine...","Lewin, Louis",Payot,Paris :,1928,,160
1094705734,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 12815 16a,,Book,None,2004-08-17,3000 - Prêt 28 j.,"A leechbook : or collection of medical recipes of the fifteenth century : the text of Ms. no 136 of the Medical Society of London, together with a transcript into modern spelling, transcribed and ed. with an introd., notes and appendix",,Macmillan,London :,1934,,160
1094724510,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13332 16a,,Book,None,2005-03-02,3000 - Prêt 28 j.,"Übersicht der gebräuchlichen und neueren Arzneimittel : für Ärzte, Apotheker und Zahnärzte","Bernoulli, Eugen",B Schwabe,Basel :,1955,,160
1094725483,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13347 16a,,Book,None,2005-03-04,3000 - Prêt 28 j.,The book of ginseng,"Harriman, Sarah",Pyramid Publ,New York :,1976,0515029882; 9780515029888,160
1094724524,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13350 16a,,Book,None,2005-03-04,3000 - Prêt 28 j.,Essay de la pharmacopée des Suisses,"Constant de Rebecque, Jacob, 1645-1732",Bibliothèque cantonale et universitaire,Lausanne :,2003,2888880954; 9782888880950,160
1094723771,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13821 16a,,Book,None,2005-08-10,3000 - Prêt 28 j.,Il trattato De venenis,"Petrus, de Abano",LS Olschki,Firenze :,1949,,160
1094722521,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14398 16a,,Book,None,2006-02-28,3000 - Prêt 28 j.,"Medicinas, drogas y alimentos vegetales del nuevo mundo : textos e imágenes españolas que los introdujeron en Europa",,Ministerio de Sanidad y Consumo,Madrid :,1992,8476703260; 9788476703267,160
1094721874,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14667 16a,,Book,None,2006-05-29,3000 - Prêt 28 j.,Healing with plants in the American and Mexican West,"Kay, Margarita Artschwager",University of Arizona Press,Tucson :,cop. 1996,0816516464; 9780816516469,160
1094721936,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14718 16a,,Book,None,2006-06-20,3000 - Prêt 28 j.,"Science, politics and the pharmaceutical industry : controversy and bias in drug regulation","Abraham, John",Routledge,London :,1995,1857281993; 9781857281996; 1857282000; 9781857282009,160
1096113004,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 15905 16a,,Book,None,2007-07-04,3000 - Prêt 28 j.,Plantes médicinales au Maghreb et soins de base : précis de phytothérapie moderne,"Bellakhdar, Jamal",Eds Le Fennec,Casablanca :,2006,9954415319; 9789954415313,160
1093104411,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1593 16a,,Book,None,1997-03-03,3000 - Prêt 28 j.,La thérapeutique en vingt médicaments : la thérapeutique en clientèle,"Huchard, Henri",A Maloine,Paris :,1918,,160
1096113466,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16128 16a,,Book,None,2007-09-19,3000 - Prêt 28 j.,"Tractado de las drogas, y medicinas de las Indias Orientales","Acosta, Cristóbal",Univ de León,León :,1995,8477194874; 9788477194873,160
1096114646,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16346 16a,,Book,None,2007-12-18,3000 - Prêt 28 j.,"Se soigner par les plantes : les ""Remèdes"" de Gargile Martial","Gargilius Martialis, Quintus",Ed BHMS,Lausanne :,2007,9782970053613; 2970053616,160
1096115129,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16566 16a,,Book,None,2008-02-20,3000 - Prêt 28 j.,"L'Europe du médicament : politique, expertise, intérêts privés","Hauray, Boris",Sciences Po Les presses,[Paris] :,2006,2724609794; 9782724609790,160
1096115088,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16605 16a,,Book,None,2008-03-04,3000 - Prêt 28 j.,Theriaká e Alexiphármaka,"Nicander, de Colophon",Carocci,Roma :,2007,9788843040186; 8843040189,160
1092396685,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1662 16a,,Book,None,1997-03-03,3000 - Prêt 28 j.,"Comment on prend, comment on administre les médicaments : leur nature et leurs propriétés : guide pour les gardes-malades, les soeurs, les infirmiers militaires, les sages-femmes, etc.","Fleissig, Paul",Payot,Lausanne :,1918,,160
1096115043,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16650 16a,,Book,None,2008-03-12,3000 - Prêt 28 j.,Medicina antiqua : Codex Vindobonensis 93 der Österreichischen Nationalbibliothek,,Wissenschaftliche Buchgesellschaft,Darmstadt :,2001,,160
1096131585,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16913 16a,,Book,None,2008-06-12,3000 - Prêt 28 j.,Le nom des plantes en patois vaudois,"Moret, Jean-Louis",Société vaudoise des sciences naturelles,Lausanne :,2008,,160
1096131566,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16937 16a,,Book,None,2008-06-17,3000 - Prêt 28 j.,Chemie und Pharmakologie des Haschisch,"Fränkel, Sigmund",,160
1092020473,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1747 16a,,Book,None,1997-03-03,3000 - Prêt 28 j.,Les thérapeutiques modernes,"Galli, André",Presses Univ de France,Paris :,1972,,160
