1094724523,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13349 45j,,Book,None,2005-03-04,3000 - Prêt 28 j.,The AO Phenomenon: Foundation and early years of the Association for the Study of Internal Fixation (ASIF),"Heim, Urs F. A",H Huber,Bern [etc.] :,cop. 2001,3456836635; 9783456836638,457
1094721251,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14928 45j,,Book,None,2006-07-12,3000 - Prêt 28 j.,"Le ""Cutivaccin Paul"" : quelques formes typiques de rhumatisme...: statistique des succès",,Ed des Laboratoires Bipharma,Vienne :,1930,,457
1096132045,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 17158 45j,,Book,None,2008-11-11,3000 - Prêt 28 j.,Die Wirbelentzündungen,"Wullstein, Ludwig",G Fischer,Jena :,1907,,457
1092875478,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2025 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Les brûlés : études physiopathologiques et thérapeutiques,"Monsaingeon, A",Masson,Paris :,1963,,457
1096621156,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20286 45j,,Book,None,2012-04-16,3000 - Prêt 28 j.,La résection-angulation de la hanche en deux temps,"Charry, René",Doin,Paris :,1964,,457
1096621097,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20411 45j,,Book,None,2012-05-10,3000 - Prêt 28 j.,Petit traité de l'art de se soigner les pieds,"Girardot, A.",A Maloine,Paris :,1911,,457
1096622318,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20674 45j,,Book,None,2012-07-19,3000 - Prêt 28 j.,Assessment of fracture risk and its application to screening for postmenopausal osteoporosis : report of a WHO study group,,World Health Organization,Geneva :,1994,9241208430; 9789241208437,457
1096899078,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2071 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,"L'intervention opératoire dans les fractures récentes et anciennes : envisagée particulièrement au point de vue de l'ostéo-synthèse, avec la description de plusieurs techniques nouvelles","Lambotte, Albin",H Lamertin,Bruxelles :,1907,,457
1096622194,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20739/1 45j,,Book,None,2012-08-14,3000 - Prêt 28 j.,Les ostéoses décalcifiantes diffuses,"Meunier, Pierre-Jean",Laboratoires Sandoz,Rueil-Malmaison :,1969-1970,,457
1096622193,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20739/1 45j,HMA 20739/2 | 45j,Book,None,2012-08-14,3000 - Prêt 28 j.,Les ostéoses décalcifiantes diffuses,"Meunier, Pierre-Jean",Laboratoires Sandoz,Rueil-Malmaison :,1969-1970,,457
1096622192,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20739/1 45j,HMA 20739/3 | 45j,Book,None,2012-08-14,3000 - Prêt 28 j.,Les ostéoses décalcifiantes diffuses,"Meunier, Pierre-Jean",Laboratoires Sandoz,Rueil-Malmaison :,1969-1970,,457
1096622191,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 20739/1 45j,HMA 20739/4 | 45j,Book,None,2012-08-14,3000 - Prêt 28 j.,Les ostéoses décalcifiantes diffuses,"Meunier, Pierre-Jean",Laboratoires Sandoz,Rueil-Malmaison :,1969-1970,,457
1093131148,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2091 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Leitfaden der orthopädischen Krankheiten : für Studierende und Ärzte,"Schüller, J",JA Barth,Leipzig :,1942,,457
1093130636,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2094 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,The treatment of fractures : with notes upon a few common dislocations,"Scudder, Charles Locke",WB Saunders,Philadelphia ;,1923,,457
1093131297,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2109 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Traité pratique de technique orthopédique,"Calot, François",Masson,Paris :,1904-1906,,457
1093133462,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2123 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Operative Behandlung der Schenkelhalsbrüche und Schenkelhalspseudarthrosen und ihre Ergebnisse,"Böhler, Lorenz",W Maudrich,Wien :,1938,,457
1096115239,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2124 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Guérison de la scoliose et méthode d'Abbott : comment traiter les diverses scolioses,"Calot, François",A Maloine,Paris :,1913,,457
1096624155,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21345 45j,,Book,None,2013-01-17,3000 - Prêt 28 j.,Organicité dynamique : (à propos d'un cas de coxalgie hystérique),"Flournoy, Henri",,457
1096624360,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21379 45j,,Book,None,2013-01-24,3000 - Prêt 28 j.,Travaux scientifiques du Professeur Jean-Charles Scholder allant de 1919 à 1957,,sn,Lausanne :,1976,,457
1093134461,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2148 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Die Technik der Extensionsverbände bei der Behandlung der Frakturen und Luxationen der Extremitäten,"Bardenheuer, Bernhard",F Enke,Stuttgart :,1909,,457
1093134476,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2150 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,L'orthopédie indispensable aux praticiens,"Calot, François",Masson,Paris :,1909,,457
1096624581,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21568 45j,,Book,None,2013-02-28,3000 - Prêt 28 j.,Etude sur l'enfoncement de l'acétabulum par la tête du fémur,"Ohandjanian, Amasavp",,457
1093134985,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2165 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Des greffes osseuses ou première étude chirurgiologique,"Regard, Georges-Louis",A Maloine,Paris :,1921,,457
1093137085,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2212 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,The shoulder : rupture of the supraspinatus tendon and other lesions in or about the subacromial bursa,"Codman, Ernest Amory",G Miller,Brooklyn :,[ca 1980],,457
1093141546,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2308 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Des fractures du rachis cervical sans symptomes médullaires,"Boeckel, Jules",F Alcan,Paris :,1911,,457
1096897223,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23099 45j,,Book,None,2014-09-18,3000 - Prêt 28 j.,Manipulative surgery : principles and practice,"Fisher, A. G. Timbrell (Alfred George Timbrell)",H K Lewis,London :,1925,,457
1093142699,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2320 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Atlas und Grundriss der traumatischen Frakturen und Luxationen,"Helferich, Heinrich",JF Lehmann,München :,1914,,457
1093143310,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2328 45j,,Book,None,1997-03-03,3000 - Prêt 28 j.,Die Drahextension : Anleitung zum praktischen Gebrauch,"Klapp, Rudolf",F Enke,Stuttgart :,1937,,457
1096897744,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23307 45j,,Book,None,2014-10-30,3000 - Prêt 28 j.,Grands brûlés de la face : épreuves et luttes pour la reconnaissance,"Dubuis, Alexandre",Antipodes,Lausanne :,2014,9782889010967; 2889010961,457
