1094672340,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10216 30l,,Book,None,2001-10-17,3000 - Prêt 28 j.,L'endocrinologie chez le nouveau-né et le nourrisson,"Jaccottet, Maurice",,"Varallo Sesia,",1950,,3009
RERO-15165562,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10216 30l,HMA 10216+1 | 30l,Book,None,2013-11-20,3000 - Prêt 28 j.,L'endocrinologie chez le nouveau-né et le nourrisson,"Jaccottet, Maurice",,"Varallo Sesia,",1950,,3009
1094672337,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10218 30l,,Book,None,2001-10-17,3000 - Prêt 28 j.,L'érythème noueux,"Jaccottet, Maurice",Impr Réunies,Lausanne :,1944,,3009
RERO-15165575,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10218 30l,HMA 10218+1 | 30l,Book,None,2013-11-20,1000 - Consult. surv. 28 j.,L'érythème noueux,"Jaccottet, Maurice",Impr Réunies,Lausanne :,1944,,3009
1094687391,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10531 30l,,Book,None,2002-03-27,3000 - Prêt 28 j.,Baby's first picture : ultrasound and the politics of fetal subjects,"Mitchell, Lisa M",Univ of Toronto press,Toronto [etc.] :,cop. 2001,0802048102; 9780802048103; 0802083498; 9780802083494,3009
1094687483,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10651 30l,,Book,None,2002-05-27,3000 - Prêt 28 j.,La puériculture du premier âge,"Pinard, A",A Colin,Paris :,1920,,3009
1094687543,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10685 30l,,Book,None,2002-06-04,3000 - Prêt 28 j.,Pseudo-hermaphrodisme chez le nouveau-né en rapport avec la surrénale,"Zia-Ebrahimi, Hamid",sn,[S.l.] :,1951,,3009
1094724583,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 13369 30l,,Book,None,2005-03-09,3000 - Prêt 28 j.,"Le foetus, le nourrisson et la mort",,L'Harmattan,Paris [etc.] :,1998,2738471943; 9782738471949,3009
1094721275,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14951 30l,,Book,None,2006-07-12,3000 - Prêt 28 j.,Contribution à l'étude des leucémies infantiles,"Reynier, Hubert de",Impr Commerciale,Lausanne :,1940,,3009
1094721295,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14972/1 30l,,Book,None,2006-07-13,3000 - Prêt 28 j.,Clinique des maladies de la première enfance,"Marfan, Antoine Bernard",Masson,Paris :,1926-1928,,3009
1094721296,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14972/1 30l,HMA 14972/2 | 30l,Book,None,2006-07-13,3000 - Prêt 28 j.,Clinique des maladies de la première enfance,"Marfan, Antoine Bernard",Masson,Paris :,1926-1928,,3009
1094721297,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 14973 30l,,Book,None,2006-07-13,3000 - Prêt 28 j.,Traité de l'allaitement et de l'alimentation des enfants du premier âge,"Marfan, Antoine Bernard",Masson,Paris :,1930,,3009
1096111400,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 15312 30l,,Book,None,2006-11-06,3000 - Prêt 28 j.,"Cinq livres, de la manière de nourrir et gouverner les enfans dès leur naissance","Vallambert, Simon de",Droz,Genève :,2005,2600010297; 9782600010290,3009
1096113503,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 16106 30l,,Book,None,2007-09-11,3000 - Prêt 28 j.,Zur sozialen Konzeption des Kindes : Forschungen und Perspektiven verschiedener Wissenschaften,,Centaurus Verlag,Herbolzheim :,2006,9783825506506; 3825506509,3009
1093068484,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1686 30l,,Book,None,1997-03-03,3000 - Prêt 28 j.,"Les enfants qu'il faut réadapter : ceux qui entendent mal, ceux qui comprennent mal, ceux qui parlent mal, ceux qui respirent mal","Parrel, Gérard Fabre de",Vigot,Paris :,1935,,3009
1093114454,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1706 30l,,Book,None,1997-03-03,3000 - Prêt 28 j.,Conseils aux jeunes mères,"Golay, Etienne",Fischbacher; Georg,Genève :,1913,,3009
1093116682,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1740 30l,,Book,None,1997-03-03,3000 - Prêt 28 j.,Précis des maladies des enfants,"Apert, Eugène Charles",J-B Baillière,Paris :,1920,,3009
