1096111429,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 15267 46,,Book,None,2006-10-17,3000 - Prêt 28 j.,The case books of Dr. John Snow,"Snow, John, 1813-1858",Wellcome Institute for History of Medicine,London :,1994,0854840613; 9780854840618,46
VD2427776,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 17019 46,,Book,None,2008-07-23,3000 - Prêt 28 j.,L'anesthésie au protoxyde d'azote,"Lavoine, J",Vigot,Paris :,1948,,46
1093123710,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1890 46,,Book,None,1997-03-03,3000 - Prêt 28 j.,On the inhalation of the vapour of ether in surgical operations : containing a description of the various stages of etherization...,"Snow, John, 1813-1858",Wilson and Ogilvy,London :,[ca. 1950],,46
1093130149,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2060 46,,Book,None,1997-03-03,3000 - Prêt 28 j.,On chloroform and other anaesthetics : their action and administration,"Snow, John, 1813-1858",The American Society of Anesthesiologists,Chicago Ill. :,1950,,46
1093140134,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2263 46,,Book,None,1997-03-03,3000 - Prêt 28 j.,La narcose : théorie et pratique,"Hammes, Th",H Lamertin,Bruxelles :,1913,,46
1096899102,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 24049 46,,Book,None,2015-07-14,3000 - Prêt 28 j.,Over lumbaalanaesthesie,"Leewens, Simon Petrus",HJ Paris,Amsterdam :,1934,,46
1096899091,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 24058 46,,Book,None,2015-07-14,3000 - Prêt 28 j.,L'anesthésie péridurale,"Steenberge, A.L van",Masson,Paris :,1969,,46
1096899146,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 24127 46,,Book,None,2015-08-20,3000 - Prêt 28 j.,L'anesthésie et l'analgésie péridurales,"Morisot, Pierre",Flammarion,Paris :,1968,,46
1093149191,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2488 46,,Book,None,1997-03-03,3000 - Prêt 28 j.,Inhalation anesthesia : a fundamental guide,"Guedel, Arthur E",MacMillan,New York :,1947,,46
1093149786,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2508 46,,Book,None,1997-03-03,3000 - Prêt 28 j.,"Précis d'anesthésie chirurgicale : anesthésies générale, rachidienne, loco-régionale","Forgue, Emile Auguste",G Doin,Paris :,1942,,46
