1096620677,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM,HMA 20086 Do,,Book,None,2012-01-04,3000 - Prêt 28 j.,Changement de perspective : le dedans et le dehors,"Dagognet, François",La Table Ronde,Paris :,2002,2710325217; 9782710325215,Do
1094672521,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10022 620,,Book,None,2001-08-15,3000 - Prêt 28 j.,"De l'intelligence, du génie et de la folie","Flourens, Pierre-Marie-Jean",L'Harmattan,Paris [etc.] :,2001,2738492282; 9782738492289,620
1094672175,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10324 Cb,,Book,None,2001-12-19,3000 - Prêt 28 j.,"La découverte et ses récits en sciences humaines : Champollion, Freud et les autres",,L'Harmattan,Paris [etc.] :,1998,2738466753; 9782738466754,Cb
1094672300,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10342 D532e,,Book,None,2002-01-10,3000 - Prêt 28 j.,Comment la dépression est devenue une épidémie,"Pignarre, Philippe",Ed La Découverte,Paris :,2001,2707135178; 9782707135179,D532e
1094687224,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10386 532c,,Book,None,2002-01-30,3000 - Prêt 28 j.,La mélancolie : du bon usage et du mauvais usage de la dépression dans la vie spirituelle,"Schaller, Jean-Pierre, abbé",Beauchesne,Paris :,1988,2701011655; 9782701011653,532c
1096897038,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1039+1 D35u,,Book,None,2014-08-05,3000 - Prêt 28 j.,Du désespoir au salut : les tuberculeux aux XIXe et XXe siècles,"Guillaume, Pierre, historien",Aubier,Paris :,1986,2700722051; 9782700722055,D35u
1094687240,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10419 D16a,,Book,None,2002-02-19,3000 - Prêt 28 j.,Le magasin du Bon Dieu : les extraordinaires richesses thérapeutiques des plantes et des animaux,"Potier, Pierre, 1934-2006",JC Lattès,[Paris] :,2001,270962110X; 9782709621106,D16a
1094687242,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10421 D12,,Book,None,2002-02-19,3000 - Prêt 28 j.,"Qu'est-ce que la physiologie? : achèvement et renaissance : histoire des sciences physiologiques, réseau de l'Association européenne pour l'histoire de la médecine et de la santé",,Institut interdisciplinaire d'études épistémologiques; J Vrin,Paris :,1997,271168301X; 9782711683017; 291042510X; 9782910425104,D12
1094687398,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10549 D7,,Book,None,2002-04-17,3000 - Prêt 28 j.,"L'avènement de la médecine clinique moderne en Europe : 1750-1815 : politiques, institutions et savoirs","Keel, Othmar, historien de la médecine",Georg; Presses de l'Univ de Montréal,Montréal :,2001,2760618226; 9782760618220; 2825707627; 9782825707623,D7
1094687400,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10550/1 D532c,,Book,None,2002-04-17,3000 - Prêt 28 j.,Anatomie de la mélancolie,"Burton, Robert, 1577-1640",J Corti,Paris :,2000,2714307175; 9782714307170,D532c
1094724545,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10550/1 D532c,HMA 10550/2 | D532c,Book,None,2005-04-12,3000 - Prêt 28 j.,Anatomie de la mélancolie,"Burton, Robert, 1577-1640",J Corti,Paris :,2000,2714307175; 9782714307170,D532c
1094723339,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10550/1 D532c,HMA 10550/3 | D532c,Book,None,2005-04-12,3000 - Prêt 28 j.,Anatomie de la mélancolie,"Burton, Robert, 1577-1640",J Corti,Paris :,2000,2714307175; 9782714307170,D532c
1094687409,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10557 D500 U,,Book,None,2002-04-25,3000 - Prêt 28 j.,"L'impossible rencontre : psychologie et psychanalyse en France, 1919-1969","Ohayon, Annick",Ed La Découverte,Paris :,1999,2707130923; 9782707130921,D500
1094687427,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10563 DF,,Book,None,2002-04-25,3000 - Prêt 28 j.,La médecine traditionnelle japonaise : oeuvres classiques du bouddhisme japonais,,L'Harmattan,Paris ;,2001,2747515974; 9782747515979,DF
1094687434,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10570 D523,,Book,None,2002-04-25,3000 - Prêt 28 j.,"Le peuple ""psy""","Sibony, Daniel",Balland,Paris :,1993,2715809212; 9782715809215,D523
1094687467,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10607 D16a,,Book,None,2002-05-06,3000 - Prêt 28 j.,"Qu'est-ce qu'un médicament ? : un objet étrange entre science, marché et société","Pignarre, Philippe",Ed La Découverte,Paris :,1997,2707127523; 9782707127525,D16a
1094687453,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10612 D500U,,Book,None,2002-05-08,3000 - Prêt 28 j.,Des savants face à l'occulte : 1870-1940,,Ed La Découverte,Paris :,2002,2707136166; 9782707136169,D500U
1094687459,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10628 D540b,,Book,None,2002-05-16,3000 - Prêt 28 j.,Pour une politique de la psychanalyse,"Roudinesco, Elisabeth",F Maspero,Paris :,1977,2707109371; 9782707109378,D540b
1094687484,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10652 Do,,Book,None,2002-05-27,3000 - Prêt 28 j.,La médecine : pour ou contre les hommes,"Régnier, François",P Belfond,Paris :,1976,2714410618; 9782714410610,Do
1094687489,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10657 DC,,Book,None,2002-05-27,3000 - Prêt 28 j.,Médecins et médecine de l'Islam,"Ammar, Sleim",Tougui,Paris :,1984,2736300033; 9782736300036,DC
1094687538,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10677 35s,,Book,None,2002-06-04,3000 - Prêt 28 j.,L'éducation sexuelle au temps du SIDA,,Privat,Toulouse :,1992,2708912739; 9782708912731,35s
1096115876,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10690 620,,Book,None,2002-06-05,3000 - Prêt 28 j.,L'homme de vérité,"Changeux, Jean-Pierre",O Jacob,Paris :,2002,273811119X; 9782738111197,620
1094686684,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10774 D16a,,Book,None,2002-07-10,3000 - Prêt 28 j.,Histoire contemporaine des médicaments,"Chast, François",Ed La Découverte,Paris :,2002,2707136662; 9782707136664,D16a
1094686548,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10854 F,,Book,None,2002-09-19,3000 - Prêt 28 j.,Chirurgien dans la coloniale : la saga d'un Cul Noir,"Merle, Henri",Ed L'Harmattan,Paris [etc.] :,2002,2747518493; 9782747518499,F
1092323678,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1087/1 DU,,Book,None,1997-03-03,3000 - Prêt 28 j.,Les médecins de l'ouest au XIXème siècle,"Léonard, Jacques",H Champion; Atelier reprod des thèses Université de Lille III,Lille :,1978,2729500820; 9782729500825,DU
1092323679,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1087/1 DU,HMA 1087/2 | DU,Book,None,1997-03-03,3000 - Prêt 28 j.,Les médecins de l'ouest au XIXème siècle,"Léonard, Jacques",H Champion; Atelier reprod des thèses Université de Lille III,Lille :,1978,2729500820; 9782729500825,DU
1092323680,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1087/1 DU,HMA 1087/3 | DU,Book,None,1997-03-03,3000 - Prêt 28 j.,Les médecins de l'ouest au XIXème siècle,"Léonard, Jacques",H Champion; Atelier reprod des thèses Université de Lille III,Lille :,1978,2729500820; 9782729500825,DU
1094686643,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10914 Cb,,Book,None,2002-10-21,3000 - Prêt 28 j.,Histoire universelle de la chasteté et du célibat,"Abbott, Elizabeth, 1942-",Fides,[Montréal] :,2001,2762121906; 9782762121902,Cb
1094686462,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10931 30,,Book,None,2002-10-21,3000 - Prêt 28 j.,La consultation,Hippocrates,Hermann,Paris :,1986,270565996X; 9782705659967,30
1094686447,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10947 DJc,,Book,None,2002-10-23,3000 - Prêt 28 j.,Ainsi s'achèvent les expériences : la place des expériences dans la physique du XXe siècle,"Galison, Peter Louis",La Découverte,Paris :,2002,2707135607; 9782707135605,DJc
1094686601,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 11004 DS,,Book,None,2002-11-14,3000 - Prêt 28 j.,Recherches sur les grandes épidémies : dans le nord de l'Espagne à la fin du XVIe siècle : problèmes de documentation et de méthode,"Bennassar, Bartolomé",Ed de l'Ecole des hautes études en sciences sociales,Paris :,2001,2713212847; 9782713212840,DS
1096111276,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1109 Dg,,Book,None,1997-03-03,3000 - Prêt 28 j.,"La médecine médiévale à travers les manuscrits de la Bibliothèque Nationale : Bibliothèque Nationale Paris, 1982",,Bibliothèque nationale,Paris :,[1982],2717716459; 9782717716450,Dg
1094685375,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 11136 D72,,Book,None,2003-01-10,3000 - Prêt 28 j.,"Les hygiénistes : enjeux, modèles et pratiques, (XVIIIe-XXe siècles)",,Belin,Paris :,2011,2701129559; 9782701129556,D72
