1099020952,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 10211 45k,,Book,None,2001-10-09,3000 - Prêt 28 j.,Quelques réflexions au sujet de l'obstérique actuelle : Leçon inaugurale donnée le 31 octobre 1905,"Weith, Auguste",C Pache,Lausanne :,1906,,458
1094705651,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 12908 45k,,Book,None,2004-09-29,3000 - Prêt 28 j.,Lili et l'oreille blessée : le récit d'une acouphénique,"Rudigoz, Charly",L'Harmattan,Paris [etc.] :,2004,2747563227; 9782747563222,458
1092252916,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 1729 45k,,Book,None,1997-03-03,3000 - Prêt 28 j.,"Corps étrangers de l'oesophage, de la trachée et des bronches : cas observés à l'Hôpital cantonal de Lausanne depuis l'emploi de l'oesophagoscopie et de la trachéobronchoscopie","Barraud, Albert",Payot,Lausanne :,1914,,458
1096156728,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 18293 45k,,Book,None,2009-12-11,3000 - Prêt 28 j.,The artificial ear : cochlear implants and the culture of deafness,"Blume, Stuart S",Rutgers University Press,"New Brunswick, N.J. :",2010,9780813546599; 0813546591; 9780813546605; 0813546605,458
1092720482,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2045 45k,,Book,None,1997-03-03,3000 - Prêt 28 j.,Laryngologue et phtisiologue,"Reynier, Léopold de, 1876-1933",Payot,Lausanne :,1927,,458
1096624319,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 21431 45k,,Book,None,2013-01-31,3000 - Prêt 28 j.,Le vertige,"Liard, Pierre",Karger,Basel ;,1993,3805558228; 9783805558228,458
1096896975,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 22909 45k,,Book,None,2014-07-07,3000 - Prêt 28 j.,Les traumatismes sonores de l'appareil auditif,"Rüedi, Luzius",JR Geigy,Basle :,cop. 1957,,458
1096897267,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 23146 45k,,Book,None,2014-08-26,3000 - Prêt 28 j.,Equilibrium and vertigo,"Jones, Isaac H, (Isaac Hampshur)",JB Lippincott Company,Philadelphia & London :,[©1918],,458
1092928975,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 2372 45k,,Book,None,1997-03-03,3000 - Prêt 28 j.,Précis d'oto-rhino-laryngologie,"Laurens, Georges",Masson,Paris :,1940,,458
1096899072,Bibliothèque d'histoire de la médecine et d'éthique médicale,IUHM Bibliothèque,HMA 24079 45k,,Book,None,2015-07-21,3000 - Prêt 28 j.,"Le sinus sphénoïdal : anatomie, exploration, chirurgie","Canuyt, Georges",Masson,Paris :,1925,,458
