ID,Date,Title,ISBN,Classification
93190941,03/03/1997,"Researches, chemical and philosophical, chiefly concerning nitrous oxyde",0407331506; 9780407331501,46
1096111429,17/10/2006,The case books of Dr. John Snow,0854840613; 9780854840618,46
VD2427776,23/07/2008,L'anesthésie au protoxyde d'azote,none,46
1093123710,03/03/1997,On the inhalation of the vapour of ether in surgical operations : containing a description of the various stages of etherization...,none,46
1093130149,03/03/1997,On chloroform and other anaesthetics : their action and administration,none,46
1093140134,03/03/1997,La narcose : théorie et pratique,none,46
1096899102,14/07/2015,Over lumbaalanaesthesie,,
96899091,14/07/2015,L'anesthésie péridurale,none,46
1096899146,20/08/2015,L'anesthésie et l'analgésie péridurales,none,46
1093149191,03/03/1997,Inhalation anesthesia : a fundamental guide,none,46
1093149786,03/03/1997,"Précis d'anesthésie chirurgicale : anesthésies générale, rachidienne, loco-régionale",none,46
1093158036,03/03/1997,L'anesthésie par inhalation : techniques,none,46
1093176316,03/03/1997,L'anesthésie moderne en chirurgie,none,46
1092920544,03/03/1997,L'anesthésie régionale,,
93189851,03/03/1997,"A study of the deaths associated with anesthesia and surgery : based on a study of 599548 anesthesias in 10 institutions, 1948-1952, inclusive",none,46
1093189863,03/03/1997,Local analgesia : head and neck,none,46
1093189877,03/03/1997,Lumbar puncture and spinal analgesia,none,46
1093190972,03/03/1997,Spinal epidural analgesia,none,46
1093190262,03/03/1997,A manual of anaesthetic techniques,none,46
1093190422,03/03/1997,Elements of pediatric anesthesia,none,46
1093190253,03/03/1997,Analgesia for midwives,none,46
1093190255,03/03/1997,Anaesthesia in operations for goitre,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
93190257,03/03/1997,The practical management of pain in labour,none,46
,,,,
1093190266,03/03/1997,Endotracheal anaesthesia,none,46
,,,,
1093190277,03/03/1997,Physics for the anaesthetist : including a section on explosions,none,46
,,,,
1093190288,03/03/1997,Anaesthetic accidents : the complications of general and regional anaesthesia,none,46
,,,,
1093190299,03/03/1997,Local analgesia : abdominal surgery,none,46
,,,,
1093190979,03/03/1997,Neurosurgical anaesthesia,none,46
,,,,
1092877035,03/03/1997,Hypothermic anesthesia,none,46
,,,,
1093190984,03/03/1997,Clinical uses of intravenous procaine,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1093190994,03/03/1997,Resuscitation of the newborn,none,46
,,,,
1093248146,26/04/1997,L'anesthésie locale : méthode du Professeur Reclus,none,46
,,,,
1093248310,26/04/1997,A treatise on the inhalation of the vapour of ether for the prevention of pain in surgical operations,none,46
,,,,
1094669877,21/11/2000,Trichlorethylene anaesthesia,none,46
,,,,
1094669859,23/11/2000,Die Lumbalanästhesie,none,46
,,,,
1094669862,23/11/2000,L'anesthésie au cyclopropane,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1093364542,03/03/1997,"Introduction à l'étude de l'anesthésie : chimie, biochimie, physiologie...",none,46
,,,,
1097425174,03/03/1997,Aspects actuels de l'anesthésiologie,none,46
,,,,
1092241033,03/03/1997,Contribution expérimentale à l'étude de la narcose chloroformique,none,46
,,,,
1093149760,03/03/1997,Die Methoden der Lokalanästhesie in der Bauchchirurgie und ihre Erfolge,none,46
,,,,
1092431321,03/03/1997,Die Lokalanästhesie,none,46
,,,,
1093190915,03/03/1997,Selection of anesthesia : the physiological and pharmacological basis,none,46
,,,,
1093215488,03/03/1997,Der Aether gegen den Schmerz,none,46
,,,,
1099019897,30/08/2001,Ueber Pental als Anaestheticum,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
VD2095330,24/07/2006,Ueber Aether-Rausch (Phrenopathia aetherea : mit besonderer Rücksicht auf die jüngsten Erfahrungen in England und Frankreich,none,46
,,,,
1093144526,03/03/1997,La cocaïne en chirurgie,none,46
,,,,
1093282116,26/04/1997,Les anesthésiques : physiologie et applications chirurgicales,none,46
,,,,
1096156819,03/03/1997,"Romance, poetry, and surgical sleep : literature influences medicine",0313294054; 9780313294051,D46
,,,,
1093023718,03/03/1997,Under the influence : a history of nitrous oxide and oxygen anaesthesia,0333316819; 9780333316818,D46
,,,,
1093023713,03/03/1997,Essays on the first hundred years of anaesthesia,0443026580; 9780443026584,D46
,,,,
1093031622,03/03/1997,The development of anaesthetic apparatus : a history based on the Charles King collection of the Association of Anaesthetists of Great Britain and Ireland,0632001771; 9780632001774,D46
,,,,
1093083369,03/03/1997,History of anesthesia : with emphasis on the nurse specialist,,
,,,,
,,,,
,,,,
,,,,
,,,,
1093028451,03/03/1997,"No laughing matter : historical aspects of anaesthesia : catalogue of an exhibition held at the Wellcome Institute for the History of Medicine, 8 June to 25 September 1987",0854840567; 9780854840564,D46
,,,,
1096898125,26/04/1997,The history of anaesthesia,0905958691; 9780905958699; 0850702632; 0929858182; 9780929858180,D46
,,,,
1094082088,06/07/1998,Essays on the history of anaesthesia : selected and revised contributions by members of the History of Anaesthesia Society Series 1 : 1986-1989,1853152935; 9781853152931,D46
,,,,
1094076206,19/01/1998,Illustrierte Geschichte der Anästhesie,2080122339; 9782080122339,D46
,,,,
1096111349,03/03/1997,L'histoire tragique et merveilleuse de l'anesthésie,2702502431; 9782702502433,D46
,,,,
1094725252,13/01/2005,Vers une histoire de la réanimation,2911119282; 9782911119286,D46
,,,,
1092700099,03/03/1997,Anaesthesia : essays on its history,3540132554; 9783540132554; 0387132554; 9780387132556,D46
,,,,
1093006444,03/03/1997,"Anaesthesia : Entdeckung, Fortschritt, Durchbrüche",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
