163,0163.jpg,Pot de Chambre pour enfant,Soins d'hygiène,Santé publique,72,"Pot de chambre cylindrique pour enfant, avec un anse, en émail blanc au bord bleu.",,20e s.,Bon,Sans mention,Email,Hôpital Cantonal Lausanne
169,0169.jpg,Urinal en porcelaine pour femme,Soins d'hygiène,Santé publique,72,Urinal en forme de lampe à huile utilisé lorsque les patientes ne peuvent pas s’asseoir.,"- Bordereau de versement du 23 août 1990, classeur “Instruments, Appareils”.",20e s.,Bon,"S. Maw Son & Sons London, Trade Mark",Porcelaine,Diaconie de Vevey
164,0164.jpg,Bassin de lit rond pour adulte,Soins d'hygiène,Santé publique,72,"Bassin de lit rond avec anse, en émail blanc à bord bleu. Un petit autocollant est placé sur le bord. Il s’agit d’un pichet blanc contenant la lettre Z sur un fond bleu. ",,20e s.,Bon,“Z”,Email,Hôpital Cantonal Lausanne
160,0160.jpg,Broc pour la toilette,Soins d'hygiène,Santé publique,72,"Pot à eau émaillé, blanc bordé de bleu, avec anse, capacité de 2,5lt. L’autocollant de la marque est collé sur l’un des côtés du pot. ",,20e s.,Bon,"Merker, Switzerland",Email,Hôpital Cantonal Lausanne
281,0281.jpg,Crachoir avec couvercle,Soins d'hygiène,Santé publique,72,Crachoir en métal émaillé blanc à bords bleus avec anse et couvercle.,,20e s.,Bon,Sans mention,Email,Hôpital Cantonal Lausanne
534,0534.jpg,Fumigateur,Soins d'hygiène,Soins techniques,72,Petite cuvette munie de anses avec entonnoir en métal émaillé blanc à bords bleus.,,20e s.,Bon,Sans mention,Email,Diaconie de Vevey
162,0162.jpg,Petit pot gradué,Soins d'hygiène,Santé publique,72,Petit pot gradué de 500 ml avec bec verseur.,,XXème s.,Relativement bon,Sans mention,Email,Hôpital Cantonal Lausanne
528,0528.jpg,Cuvette en émail,Soins d'hygiène,Santé publique,72,Cuvette en émail blanc avec bords bleus.,,XXème s.,Moyen,Sans mention,Email,Diaconie de Vevey
614,0614.jpg,Pot de chambre pour enfant avec couvercle,Soins d'hygiène,Santé publique,72,Pot de chambre pour enfant émaillé jaune à bords bleus.,,XXème s.,Bon,Sans mention,Email,Diaconie de Vevey
172,0172.jpg,Bassin de lit,Soins d'hygiène,Santé publique,72,Bassin de lit allongé pour être glissé sous le dos du patient. En dessous de l’objet on distingue l’écusson d’une marque: il s’agit d’un Z inscrit dans un pichet. Cette marque reste non-identifiée.,,XXème s.,Bon,“Z” ?,Email,Diaconie de Vevey
